0.055861488092211586,	13.1715857818	,
0.09082548728752676,	12.7751237424	,
0.12713136480299592,	12.4279375971	,
0.16747171996966959,	12.031210277	,
0.20108499815408837,	11.7828412007	,
0.24276944231360165,	11.3860475604	,
0.2965551087540429,	10.8899726098	,
0.3355535856005625,	10.4439693954	,
0.3785799080802299,	10.0964516493	,
0.41085130794449454,	9.7988066789	,
0.4632928853920961,	9.3027980484	,
0.5022869408932445,	8.9554792628	,
0.5520381296824812,	8.508945487	,
0.6017893184717178,	8.0624117113	,
0.6407877953182375,	7.6164084969	,
0.6918808624276283,	7.2191506153	,
0.7322212175943018,	6.8224232952	,
0.7671785847715603,	6.5739878988	,
0.8182804945716936,	5.9793611598	,
0.8639949950370401,	5.6317107733	,
0.905675017851182,	5.3336015616	,
0.9285377947655694,	5.0364208325	,
