-169.5705024311183,	40.1675981714	,
-156.88006482982172,	38.0024856277	,
-145.06482982171798,	32.8786039785	,
-131.93679092382496,	39.1883916826	,
-119.68395461912479,	35.1403071422	,
-107.86871961102106,	34.0522999324	,
-94.74068071312803,	36.864329789	,
-82.05024311183143,	45.8651365278	,
-70.67260940032412,	52.0421393841	,
-57.5445705024311,	37.903496595	,
-45.291734197730904,	26.8598963595	,
-32.60129659643434,	40.9728107216	,
-19.47325769854129,	39.0763203989	,
-7.658022690437548,	49.9614073595	,
4.157212317666165,	32.8644315399	,
16.847649918962787,	44.0177046464	,
29.100486223662926,	34.8575124826	,
40.040518638573815,	34.1739648669	,
52.73095623987041,	37.7936056864	,
66.29659643435986,	44.9101322034	,
77.67423014586717,	40.1902740732	,
91.6774716369531,	33.9879788649	,
104.3679092382497,	40.970848384	,
115.30794165316058,	31.8119644453	,
128.43598055105355,	37.8526938535	,
138.938411669368,	35.958819981	,
153.37925445705037,	27.7381514779	,
165.63209076175053,	46.0219055025	,
177.00972447325785,	35.786352305	,
189.70016207455444,	32.6795357254	,
