-167.81474784006429,	1.2730560579	,
-155.514968856741,	6.4810126582	,
-144.36045810729354,	4.9186256781	,
-132.23829616234678,	0.52079566	,
-118.90817761703838,	0.6365280289	,
-107.87261402451276,	3.356238698	,
-94.499095840868,	1.9095840868	,
-85.75487241310026,	7.1175406872	,
-73.55796664657424,	16.0289330922	,
-61.66083986337151,	19.7323688969	,
-46.50874020494271,	2.2567811935	,
-35.84689572031343,	2.4303797468	,
-22.929073739200334,	1.3887884268	,
-11.418525215993554,	3.0090415913	,
2.877637130801702,	0.3471971067	,
11.294755877034362,	1.3309222423	,
25.935704239501717,	2.2567811935	,
38.87763713080167,	0.3471971067	,
49.51858549326906,	1.2730560579	,
59.76652601969059,	0.3471971067	,
73.5234076753064,	1.0994575045	,
84.1450673096243,	2.7197106691	,
95.54149085794657,	8.4484629295	,
107.45871006630497,	27.4285714286	,
118.35764516777178,	35.0669077758	,
130.64215390797668,	24.8245931284	,
141.86819369097853,	4.6871609403	,
155.2738597548724,	2.0831826401	,
168.63612618043,	1.0415913201	,
179.32047418123366,	0.4050632911	,
