-166.05428424489997,	3.3512817404	,
-152.82336191865932,	2.9904794558	,
-144.17471892025236,	4.3242587815	,
-132.89118063946947,	13.6769704851	,
-118.4173192789975,	23.2068470985	,
-107.31440792417013,	46.8170441574	,
-96.47114777540378,	54.9223764148	,
-86.3424929024489,	47.4338851096	,
-70.51392959731066,	22.0326215573	,
-60.83909987581899,	14.3660622076	,
-47.113711339775136,	10.9753937625	,
-38.992273181500764,	17.9232084694	,
-24.852571634046484,	17.8294329903	,
-12.986511517057124,	17.2017544226	,
-1.0402982016750002,	10.2473167285	,
11.618262552944174,	19.0649211639	,
23.13097124603314,	10.3284483227	,
35.48472406310236,	7.2055592954	,
49.14350642020008,	9.0723385751	,
58.296775892995186,	6.5742681892	,
71.99732822672024,	5.1440039805	,
84.22915786876956,	11.6449175681	,
95.23272441432141,	7.0967315725	,
107.5853483131034,	4.0629518286	,
119.90974925470488,	3.2569041716	,
133.60691483356817,	2.0939678133	,
145.89631930826573,	4.0503079438	,
155.92788720851956,	4.2252150171	,
165.97751780136883,	2.9743735549	,
176.90657573996407,	4.3074002684	,
