-167.9048414023372,	0.2660844998	,
-155.28380634390652,	1.0307288705	,
-148.0717863105175,	0.9443822733	,
-144.465776293823,	1.0330771065	,
-132.29549248747912,	0.9771108135	,
-119.22370617696158,	0.2180435035	,
-107.5041736227045,	2.0374372428	,
-96.68614357262103,	4.0617635008	,
-84.51585976627709,	2.0717312737	,
-70.54257095158596,	2.2212845585	,
-57.92153589315524,	1.1983831416	,
-49.35726210350583,	3.1636121252	,
-36.73622704507511,	5.3641539318	,
-22.762938230383952,	1.2060149089	,
-11.49415692821367,	1.296373076	,
0.22537562604341588,	0.3025800021	,
10.592654424040091,	1.0960391862	,
22.76293823038398,	0.160952014	,
38.08848080133558,	0.3107988283	,
48.90651085141903,	0.1666269179	,
60.17529215358931,	1.2826261107	,
71.89482470784642,	6.9994557474	,
85.86811352253758,	15.9695218527	,
93.53088480801338,	12.3960936115	,
107.95492487479132,	12.2527044464	,
118.77295492487482,	8.7971772246	,
131.39398998330554,	12.0233600567	,
143.56427378964943,	5.1981629945	,
155.73455759599338,	0.3656399249	,
172.41235392320536,	0.3692601222	,
177.8213689482471,	0.4290422988	,
